title,year,duration,rating,directors,stars
Harakiri,1962,2h 13m,8.6,Masaki Kobayashi,"Tatsuya Nakadai, Akira Ishihama, Shima Iwashita"
The Departed,2006,2h 31m,8.5,Martin Scorsese,"Leonardo DiCaprio, Matt Damon, Jack Nicholson"
Whiplash,2014,1h 46m,8.5,Damien Chazelle,"Miles Teller, J.K. Simmons, Melissa Benoist"
The Prestige,2006,2h 10m,8.5,Christopher Nolan,"Christian Bale, Hugh Jackman, Scarlett Johansson"
American History X,1998,1h 59m,8.5,Tony Kaye,"Edward Norton, Edward Furlong, Beverly D'Angelo"
Léon: The Professional,1994,1h 50m,8.5,Luc Besson,"Jean Reno, Gary Oldman, Natalie Portman"
Spider-Man: Across the Spider-Verse,2023,2h 20m,8.5,"Joaquim Dos Santos, Kemp Powers, Justin K. Thompson","Shameik Moore, Hailee Steinfeld, Brian Tyree Henry"
Cinema Paradiso,1988,2h 54m,8.5,Giuseppe Tornatore,"Philippe Noiret, Enzo Cannavale, Antonella Attili"
Casablanca,1942,1h 42m,8.5,Michael Curtiz,"Humphrey Bogart, Ingrid Bergman, Paul Henreid"
The Intouchables,2011,1h 52m,8.5,"Olivier Nakache, Éric Toledano","François Cluzet, Omar Sy, Anne Le Ny"
The Usual Suspects,1995,1h 46m,8.5,Bryan Singer,"Kevin Spacey, Gabriel Byrne, Chazz Palminteri"
Alien,1979,1h 57m,8.5,Ridley Scott,"Sigourney Weaver, Tom Skerritt, John Hurt"
Modern Times,1936,1h 27m,8.5,Charles Chaplin,"Charles Chaplin, Paulette Goddard, Henry Bergman"
Rear Window,1954,1h 52m,8.5,Alfred Hitchcock,"James Stewart, Grace Kelly, Wendell Corey"
Django Unchained,2012,2h 45m,8.5,Quentin Tarantino,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio"
Once Upon a Time in the West,1968,2h 46m,8.5,Sergio Leone,"Henry Fonda, Charles Bronson, Claudia Cardinale"
City Lights,1931,1h 27m,8.5,Charles Chaplin,"Charles Chaplin, Virginia Cherrill, Florence Lee"
Apocalypse Now,1979,2h 27m,8.4,Francis Ford Coppola,"Martin Sheen, Marlon Brando, Robert Duvall"
WALL·E,2008,1h 38m,8.4,Andrew Stanton,"Ben Burtt, Elissa Knight, Jeff Garlin"
