title,year,rating,directors,stars,durasi_menit
The Truman Show,1998,8.2,Peter Weir,"Jim Carrey, Ed Harris, Laura Linney",103
Green Book,2018,8.2,Peter Farrelly,"Viggo Mortensen, Mahershala Ali, Linda Cardellini",130
Hamilton,2020,8.3,Thomas Kail,"Lin-Manuel Miranda, Phillipa Soo, Leslie Odom Jr.",160
Batman Begins,2005,8.2,Christopher Nolan,"Christian Bale, Michael Caine, Ken Watanabe",140
Judgment at Nuremberg,1961,8.3,Stanley Kramer,"Spencer Tracy, Burt Lancaster, Richard Widmark",179
Taxi Driver,1976,8.2,Martin Scorsese,"Robert De Niro, Jodie Foster, Cybill Shepherd",114
Shutter Island,2010,8.2,Martin Scorsese,"Leonardo DiCaprio, Emily Mortimer, Mark Ruffalo",138
For a Few Dollars More,1965,8.2,Sergio Leone,"Clint Eastwood, Lee Van Cleef, Gian Maria Volontè",132
Some Like It Hot,1959,8.2,Billy Wilder,"Marilyn Monroe, Tony Curtis, Jack Lemmon",121
Jurassic Park,1993,8.2,Steven Spielberg,"Sam Neill, Laura Dern, Jeff Goldblum",127
There Will Be Blood,2007,8.2,Paul Thomas Anderson,"Daniel Day-Lewis, Paul Dano, Ciarán Hinds",158
The Kid,1921,8.2,Charles Chaplin,"Charles Chaplin, Edna Purviance, Jackie Coogan",68
The Father,2020,8.2,Florian Zeller,"Anthony Hopkins, Olivia Colman, Mark Gatiss",97
All About Eve,1950,8.2,Joseph L. Mankiewicz,"Bette Davis, Anne Baxter, George Sanders",138
The Sixth Sense,1999,8.2,M. Night Shyamalan,"Bruce Willis, Haley Joel Osment, Toni Collette",107
Ran,1985,8.2,Akira Kurosawa,"Tatsuya Nakadai, Akira Terao, Jinpachi Nezu",160
Casino,1995,8.2,Martin Scorsese,"Robert De Niro, Sharon Stone, Joe Pesci",178
The Chaos Class Failed the Class,1975,8.6,Ertem Egilmez,"Münir Özkul, Tarik Akan, Kemal Sunal",95
No Country for Old Men,2007,8.2,"Ethan Coen, Joel Coen","Tommy Lee Jones, Javier Bardem, Josh Brolin",122
The Thing,1982,8.2,John Carpenter,"Kurt Russell, Wilford Brimley, Keith David",109
Top Gun: Maverick,2022,8.2,Joseph Kosinski,"Tom Cruise, Jennifer Connelly, Miles Teller",130
Pan's Labyrinth,2006,8.2,Guillermo del Toro,"Ivana Baquero, Ariadna Gil, Sergi López",118
Unforgiven,1992,8.2,Clint Eastwood,"Clint Eastwood, Gene Hackman, Morgan Freeman",130
Prisoners,2013,8.2,Denis Villeneuve,"Hugh Jackman, Jake Gyllenhaal, Viola Davis",153
1,2003,8.2,Quentin Tarantino,"Uma Thurman, David Carradine, Daryl Hannah",111
A Beautiful Mind,2001,8.2,Ron Howard,"Russell Crowe, Ed Harris, Jennifer Connelly",135
The Treasure of the Sierra Madre,1948,8.2,John Huston,"Humphrey Bogart, Walter Huston, Tim Holt",126
Howl's Moving Castle,2004,8.2,Hayao Miyazaki,"Chieko Baishô, Takuya Kimura, Tatsuya Gashûin",119
Finding Nemo,2003,8.2,"Andrew Stanton, Lee Unkrich","Albert Brooks, Ellen DeGeneres, Alexander Gould",100
Yojimbo,1961,8.2,Akira Kurosawa,"Toshirô Mifune, Eijirô Tôno, Tatsuya Nakadai",110
The Great Escape,1963,8.2,John Sturges,"Steve McQueen, James Garner, Richard Attenborough",172
Monty Python and the Holy Grail,1975,8.2,"Terry Gilliam, Terry Jones","Graham Chapman, John Cleese, Eric Idle",91
The Best of Youth,2003,8.4,Marco Tullio Giordana,"Luigi Lo Cascio, Alessio Boni, Jasmine Trinca",374
The Elephant Man,1980,8.2,David Lynch,"Anthony Hopkins, John Hurt, Anne Bancroft",124
Klaus,2019,8.2,"Carlos Martínez López, Sergio Pablos","Jason Schwartzman, J.K. Simmons, Rashida Jones",96
Dial M for Murder,1954,8.2,Alfred Hitchcock,"Ray Milland, Grace Kelly, Robert Cummings",105
Gone with the Wind,1939,8.2,Victor Fleming,"Clark Gable, Vivien Leigh, Thomas Mitchell",238
The Secret in Their Eyes,2009,8.2,Juan José Campanella,"Ricardo Darín, Soledad Villamil, Pablo Rago",129
Chinatown,1974,8.1,Roman Polanski,"Jack Nicholson, Faye Dunaway, John Huston",130
"Lock, Stock and Two Smoking Barrels",1998,8.1,Guy Ritchie,"Jason Flemyng, Dexter Fletcher, Nick Moran",107
V for Vendetta,2005,8.1,James McTeigue,"Hugo Weaving, Natalie Portman, Rupert Graves",132
Demon Slayer: Kimetsu no Yaiba- The Movie - Infinity Castle,2025,8.5,"Hikaru Kondô, Haruo Sotozaki","Zach Aguilar, Saeko Akiho, Yôhei Azakami",155
Inside Out,2015,8.1,"Ronnie Del Carmen, Pete Docter","Amy Poehler, Bill Hader, Lewis Black",95
Rashomon,1950,8.1,Akira Kurosawa,"Toshirô Mifune, Machiko Kyô, Masayuki Mori",88
Catch Me If You Can,2002,8.1,Steven Spielberg,"Leonardo DiCaprio, Tom Hanks, Christopher Walken",141
"Three Billboards Outside Ebbing, Missouri",2017,8.1,Martin McDonagh,"Frances McDormand, Woody Harrelson, Sam Rockwell",115
Trainspotting,1996,8.1,Danny Boyle,"Ewan McGregor, Ewen Bremner, Jonny Lee Miller",93
The Bridge on the River Kwai,1957,8.1,David Lean,"William Holden, Alec Guinness, Jack Hawkins",161
Harry Potter and the Deathly Hallows: Part 2,2011,8.1,David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint",130
Raging Bull,1980,8.1,Martin Scorsese,"Robert De Niro, Cathy Moriarty, Joe Pesci",129
Fargo,1996,8.1,"Joel Coen, Ethan Coen","William H. Macy, Frances McDormand, Steve Buscemi",98
Warrior,2011,8.1,Gavin O'Connor,"Tom Hardy, Nick Nolte, Joel Edgerton",140
Dead Poets Society,1989,8.1,Peter Weir,"Robin Williams, Robert Sean Leonard, Ethan Hawke",128
The Wild Robot,2024,8.2,Chris Sanders,"Lupita Nyong'o, Pedro Pascal, Kit Connor",102
Barry Lyndon,1975,8.1,Stanley Kubrick,"Ryan O'Neal, Marisa Berenson, Patrick Magee",185
Ben-Hur,1959,8.1,William Wyler,"Charlton Heston, Jack Hawkins, Stephen Boyd",212
Million Dollar Baby,2004,8.1,Clint Eastwood,"Hilary Swank, Clint Eastwood, Morgan Freeman",132
Mad Max: Fury Road,2015,8.1,George Miller,"Tom Hardy, Charlize Theron, Nicholas Hoult",120
Gran Torino,2008,8.1,Clint Eastwood,"Clint Eastwood, Bee Vang, Christopher Carley",116
